aj_country,nj_pop,round
Netherlands,Turk_south,0
Netherlands,Turk_central,0
Netherlands,Turk_mixed,0
Netherlands,Caucasian_northeast,0
Netherlands,Turk_northeast,0
Netherlands,Druze,0
Netherlands,Adygei,0
Netherlands,Georgian,0
Netherlands,Maltese,0
Netherlands,Armenian,0
Netherlands,Turk_west,0
Netherlands,Iranian_gulf,1
Netherlands,Saudi-Bedouin,1
Netherlands,Syrian,1
Netherlands,Kurd,1
Netherlands,Assyrian,1
Netherlands,Palestinian-Jordanian,1
Netherlands,Azeri,1
Netherlands,Iranian,1
Netherlands,Lebanese,1
Netherlands,Mordovian,2
Netherlands,Russian,2
Netherlands,Lithuanian-Latvian,2
Netherlands,Czech,2
Netherlands,Finn-Estonian,2
Netherlands,French,2
Netherlands,Hungarian,2
Netherlands,Russian_nordic,2
Netherlands,Chuvash-Tatar_Volga,2
Netherlands,Pole-Ukrainian_north,2
Netherlands,Swede-Norwegian-German,2
Netherlands,Greek,2
Netherlands,Spanish,2
Netherlands,Bulgarian,2
Netherlands,Icelandic,2
Netherlands,Brit,2
Netherlands,Belarusian,2
Netherlands,Ukrainian,2
Netherlands,Croatian,2
Netherlands,Basque-Spanish_north,2
Netherlands,Albanian,2
Netherlands,Sardinian,2
Netherlands,French_south,2
Netherlands,Romanian-Moldavian,2
Netherlands,Italian_north,2
Netherlands,Italian_central_south,2
Netherlands,Egyptian,3
Netherlands,NorthAfrican_west,3
Netherlands,Pathan,3
Netherlands,Turkmen-Uzbek,3
Netherlands,Bashkir,3
Netherlands,Tatar_Siberian,3
Germany,Maltese,0
Germany,Turk_northeast,1
Germany,Sardinian,2
Germany,Italian_north,2
Germany,Italian_central_south,2
Germany,Albanian,2
Germany,Croatian,2
Germany,Czech,2
Germany,French,2
Germany,Hungarian,2
Germany,Brit,2
Germany,Romanian-Moldavian,2
Germany,French_south,2
Germany,Basque-Spanish_north,3
Germany,Turk_central,3
Germany,Turk_south,3
Germany,Armenian,3
Germany,Druze,3
Germany,Adygei,3
Germany,Georgian,3
Germany,Turk_west,3
Germany,Turk_mixed,3
Germany,Caucasian_northeast,3
Czechia,Turk_northeast,0
Czechia,Italian_north,1
Czechia,Italian_central_south,1
Czechia,Brit,1
Czechia,Romanian-Moldavian,1
Czechia,French_south,1
Czechia,Basque-Spanish_north,1
Czechia,Albanian,1
Czechia,Sardinian,1
Czechia,Greek,2
Czechia,Spanish,2
Czechia,Croatian,2
Czechia,Czech,2
Czechia,French,2
Czechia,Hungarian,2
Czechia,Swede-Norwegian-German,2
Czechia,Russian_nordic,2
Czechia,Chuvash-Tatar_Volga,2
Czechia,Pole-Ukrainian_north,2
Czechia,Lithuanian-Latvian,2
Czechia,Finn-Estonian,2
Czechia,Mordovian,2
Czechia,Russian,2
Czechia,Bulgarian,3
