Dataset,family_id,individual_id,lat1_obs,long1_obs,city1_obs,country1_obs,lat2_obs,long2_obs,city2_obs,country2_obs,#,Northeast Asian,Mediterranean,Southern African,Southwest Asian,Native American,Oceanian,Southeast Asia,Northern European,Subsaharan African,ClosestPop_prd,Lat_pred,Long_pred
Kopelman_2020_148_AJ,0,pop_917_5750,41.896,12.4833,Rome,Italy,,,,,0,"0,004396","0,472849","0,004683","0,207636","0,014739","0,009886","0,028194","0,246306","0,011312",Romania_2,"43,4816","25,0438"
Kopelman2020_239otherJ,0,pop_920_155,36.345,43.145,Mosul,Iraq,,,,,1,"0,004217","0,550898","0,003118","0,316462","0,018371","0,007369","0,021613","0,054555","0,023396",Armenians_2,"39,8943","44,555"
Kopelman2020_239otherJ,0,pop_920_174,36.345,43.145,Mosul,Iraq,,,,,2,"0,015057","0,555838","0,010544","0,308552","0,004694",1E-05,"0,024331","0,061036","0,019938",Armenians_2,"40,0049","44,8054"
Kopelman2020_239otherJ,0,pop_920_209,36.345,43.145,Mosul,Iraq,,,,,3,"0,031845","0,550844","0,002112","0,312647",1E-05,"0,000621","0,014985","0,067064","0,01987",Armenians_2,"40,0522","44,9305"
Kopelman2020_239otherJ,0,pop_920_1551,36.345,43.145,Mosul,Iraq,,,,,4,"0,011191","0,588936","0,010835","0,309826","0,013637","0,019592","0,000975","0,034629","0,010379",Georgians_1,"39,7573","43,1293"
Kopelman2020_239otherJ,0,pop_920_1824,36.345,43.145,Mosul,Iraq,,,,,5,"0,048857","0,478331","0,002682","0,341214","0,007312","0,001381","0,03405","0,074353","0,01182",Turk_2,"39,7621","39,5841"
Kopelman2020_239otherJ,0,pop_920_4584,36.345,43.145,Mosul,Iraq,,,,,6,"0,037797","0,566455","0,004105","0,335632","0,004925",1E-05,"0,007973","0,027419","0,015683",Georgians_1,"40,2176","44,1449"
Kopelman2020_239otherJ,0,pop_920_4633,36.345,43.145,Mosul,Iraq,,,,,7,"0,020319","0,497009","0,003087","0,337569","0,00968","0,004171","0,042333","0,082547","0,003284",Armenians_1,"40,1837","44,2248"
Kopelman2020_239otherJ,0,pop_920_4663,36.345,43.145,Mosul,Iraq,,,,,8,"0,011279","0,573876","0,003222","0,29885","0,013249",1E-05,"0,012757","0,061687","0,025069",Armenians_2,"39,6154","43,8242"
Kopelman_2020_148_AJ,0,pop_930_1135,50.4334,30.5166,Kiev,Ukraine,,,,,28,"0,03154","0,504672","0,005027","0,234302","0,013759","0,013559","0,028336","0,158287","0,010518",Turk_2,"41,4077","37,7566"
Kopelman_2020_148_AJ,0,pop_930_1516,50.4334,30.5166,Kiev,Ukraine,,,,,29,"0,029971","0,497626","0,004756","0,252196","0,00587","0,004226","0,027478","0,156011","0,021864",Turk_2,"41,1687","38,6173"
Kopelman_2020_148_AJ,0,pop_930_1537,50.4334,30.5166,Kiev,Ukraine,,,,,30,"0,03329","0,517045","0,008061","0,23866",1E-05,"0,002952","0,02711","0,159632","0,013239",Turk_2,"40,7255","37,7091"
Kopelman_2020_148_AJ,0,pop_930_1590,50.4334,30.5166,Kiev,Ukraine,,,,,31,"0,025883","0,523513","0,007474","0,220919","0,008523","0,012949","0,010179","0,161299","0,029262",Turk_2,"39,2975","35,8705"
Kopelman_2020_148_AJ,0,pop_930_1617,50.4334,30.5166,Kiev,Ukraine,,,,,32,"0,019667","0,511019","0,012871","0,237934","0,013672","0,013127","0,023596","0,157636","0,010479",Turk_2,"40,8176","37,52"
Kopelman_2020_148_AJ,0,pop_930_1666,50.4334,30.5166,Kiev,Ukraine,,,,,33,"0,021409","0,519599",1E-05,"0,247241","0,014597","0,011308","0,021094","0,146635","0,018108",Turk_2,"40,1731","38,748"
Kopelman_2020_148_AJ,0,pop_930_1807,50.4334,30.5166,Kiev,Ukraine,,,,,34,"0,037293","0,533547","0,003054","0,224181","0,002566","0,010306","0,019728","0,152579","0,016744",Turk_2,"39,5461","37,5017"
Kopelman_2020_148_AJ,0,pop_930_1816,50.4334,30.5166,Kiev,Ukraine,,,,,35,"0,020493","0,532631","0,009034","0,244619","0,011021","0,007569","0,002158","0,155664","0,016811",Turk_2,"39,6317","38,3831"
Kopelman_2020_148_AJ,0,pop_930_1858,50.4334,30.5166,Kiev,Ukraine,,,,,36,"0,032663","0,512982","0,001046","0,242025","0,007546","0,00925","0,019884","0,148282","0,026322",Turk_2,"40,2795","38,2785"
Kopelman_2020_148_AJ,0,pop_930_1876,50.4334,30.5166,Kiev,Ukraine,,,,,37,"0,024366","0,46362","0,000358","0,228388","0,027228","0,005208","0,018145","0,207586","0,025102",Romania_2,"43,3702","26,9268"
