bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 5.876773 0.2185893 0.06144521
2 9.212891 0.2149668 0.065352
3 6.980368 0.2024277 0.03359337
4 9.789063 0.1817605 0.03546548
5 10.75156 0.1857908 0.04799294
6 5.554965 0.2557801 0.04488574
7 3.023858 0.1729228 0.05953827
8 1 0.248373 0.0532527
9 4.598984 0.2148697 0.07016837
10 10.32432 0.2520861 0.05160653
11 12.025 0.1496592 0.03888158
12 4.241829 0.2115694 0.03455318
13 5.429317 0.2433716 0.0296824
14 2.361495 0.2470724 0.03539091
15 5.183292 0.307234 0.06324171
16 1 0.1960493 0.02310042
17 11 0.175815 0.05394743
18 1.360102 0.25283 0.03525037
19 5.746732 0.3107051 0.05426948
20 12.55625 0.1985987 0.05436738
21 10.75156 0.2874326 0.04294364
22 17.79658 0.2394219 0.07190421
23 6.277442 0.2138732 0.04558227
24 12.42227 0.243299 0.0454549
25 5.429317 0.1605976 0.04904364
26 10.75156 0.1993426 0.08916622
27 8.439063 0.2468527 0.03829664
28 13.37656 0.2613861 0.03781046
29 6.07513 0.268319 0.04394776
30 2.284807 0.3110984 0.03970216
31 10.50625 0.210981 0.04602756
32 4.944297 0.3014641 0.02845683
33 6.623413 0.2464434 0.04829964
34 3.284746 0.184554 0.1054199
35 8.65625 0.3071413 0.06987605
36 9.326563 0.3019243 0.06963456
37 7.053077 0.2724576 0.03147289
38 3.705724 0.2711562 0.04628714
39 11 0.2063694 0.07005002
40 8.876562 0.253913 0.06201734
41 11.12539 0.276834 0.03849958
42 8.014063 0.2725844 0.04394359
43 6.764877 0.2507824 0.03849896
44 10.26406 0.3071858 0.0477289
45 2.778781 0.2446972 0.06633345
46 8.65625 0.2952381 0.05146097
47 17.90477 0.2379501 0.07975005
48 11.37852 0.26694 0.06633266
49 6.345757 0.2215694 0.03729228
50 6.836268 0.2518554 0.05995912
51 8.493066 0.2944976 0.06081227
52 4.00614 0.2418526 0.03339987
53 6.209565 0.2282013 0.07230724
54 9.55625 0.2692729 0.05622945
55 11.63477 0.2450756 0.04514468
56 9.906641 0.2051908 0.04215394
57 4.162278 0.2500916 0.06384963
58 10.87539 0.3503313 0.03727166
59 14.03771 0.1550336 0.06864994
60 5.523388 0.2908664 0.03312464
61 2.361495 0.2947133 0.04122839
62 4.486411 0.2118677 0.04536405
63 6.908099 0.3052677 0.05707658
64 6.800518 0.3665115 0.07377033
65 6.345757 0.2249473 0.07939768
66 4.083715 0.2672869 0.05788806
67 10.38477 0.2460022 0.08669834
68 6.908099 0.2424555 0.05516396
69 7.536394 0.2433744 0.06346213
70 4.083715 0.1701533 0.03895156
71 2.662172 0.201759 0.06267547
72 7.650565 0.1889684 0.04769505
73 7.498557 0.2835057 0.04426466
74 2.60535 0.2223523 0.03857738
75 6.483707 0.1845861 0.05364714
76 5.554965 0.2356474 0.03491771
77 4.241829 0.2284983 0.05209996
78 4.944297 0.2737635 0.04823541
79 16.62941 0.230948 0.05251021
80 2.284807 0.2492456 0.04785212
81 1 0.2212412 0.05462838
82 6.623413 0.2120814 0.04657743
83 7.199813 0.3039035 0.0685438
84 5.183292 0.1536035 0.06113684
85 2.138099 0.2173501 0.04799684
86 8.987891 0.2533512 0.05609622
87 7.348306 0.2528196 0.04566435
88 12.09072 0.2406163 0.0362738
89 7.574341 0.263565 0.03751889
90 1 0.2848926 0.03069904
91 4.241829 0.2177032 0.03407576
92 4.54297 0.3533723 0.0694422
93 5.554965 0.2464784 0.02365865
94 8.65625 0.2428901 0.04696977
95 7.498557 0.1801332 0.04184384
96 9.965723 0.3336852 0.07304223
97 10.75156 0.2045474 0.05000347
98 4.241829 0.2582799 0.0415474
99 5.811533 0.2836022 0.04625501
100 16.8385 0.213084 0.05581556
