bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 41.46851 0.3644529 0.04862332
2 32.62278 0.3492915 0.03796354
3 30.96513 0.3971926 0.04264722
4 68.27228 0.2355548 0.03336372
5 55.83707 0.3291304 0.04801091
6 38.39887 0.3959081 0.04300717
7 33.0193 0.3253692 0.04801673
8 37.97024 0.3502392 0.06131972
9 46.54965 0.3632399 0.07407301
10 47.50354 0.3424125 0.05707031
11 65.98557 0.3150306 0.08549248
12 58.47098 0.348837 0.04861065
13 28.24037 0.3645063 0.07765498
14 42.98463 0.3459324 0.03762307
15 56.70817 0.3208283 0.04360702
16 53.77442 0.3784475 0.04130619
17 49.76773 0.3840467 0.04388059
18 36.80422 0.3571281 0.06081623
19 49.76773 0.3487423 0.1001937
20 20.02637 0.3365945 0.06006515
21 33.0193 0.236479 0.03885435
22 45.91921 0.3372651 0.049814
23 53.43448 0.3541216 0.06423271
24 50.75458 0.365436 0.04883325
25 37.97024 0.390491 0.04079693
26 44.98179 0.3729044 0.08359299
27 56.18468 0.3431855 0.05291002
28 60.08099 0.2771507 0.04725034
29 50.09558 0.3017241 0.04357794
30 43.44139 0.3387321 0.04382146
31 49.76773 0.3611372 0.06406417
32 50.42453 0.3466778 0.03670393
33 34.42657 0.3316521 0.03661078
34 37.22607 0.3655168 0.04162021
35 50.09558 0.36051 0.07058313
36 41.62916 0.2344035 0.04541337
37 50.09558 0.3463692 0.07051998
38 58.64877 0.3063223 0.07629491
39 38.61412 0.3256251 0.05439071
40 49.76773 0.3831853 0.09375827
41 42.83292 0.3448059 0.0513116
42 62.99813 0.1775116 0.04604741
43 75.93066 0.2903773 0.05386396
44 53.09565 0.3182601 0.05585234
45 51.7513 0.4127439 0.05253521
46 39.26356 0.3574403 0.05318018
47 63.7384 0.3728977 0.04136381
48 45.91921 0.3046499 0.05352533
49 60.08099 0.2901954 0.04401667
50 56.5334 0.1668387 0.041621
51 77.0166 0.2821825 0.05486071
52 45.91921 0.3919266 0.07111074
53 43.13661 0.3567617 0.04272682
54 43.28886 0.3646275 0.05120098
55 59.36268 0.3592898 0.05508002
56 39.48128 0.4338581 0.07603194
57 70.99008 0.3006041 0.05078031
58 48.79078 0.2351965 0.05294337
59 46.86651 0.3497437 0.03883499
60 40.57912 0.3470367 0.03920756
61 42.22885 0.3608275 0.03992483
62 40.13813 0.3285469 0.05819439
63 60.08099 0.3191448 0.04930759
64 45.76229 0.3073692 0.06873181
65 36.07194 0.3627128 0.05886456
66 40.57912 0.3632242 0.06137536
67 60.08099 0.2011033 0.04177755
68 77.28931 0.3772793 0.07790727
69 43.13661 0.2358075 0.07809365
70 34.83421 0.3550228 0.04607752
71 57.58615 0.2974348 0.0810885
72 66.93356 0.4165215 0.08851836
73 53.94479 0.319008 0.04786385
74 50.75458 0.2270022 0.06136272
75 68.65724 0.3495516 0.0755478
76 36.48946 0.3832647 0.05889893
77 46.54965 0.3158846 0.03502282
78 55.14512 0.3522314 0.0595877
79 57.23413 0.3283015 0.04633066
80 49.76773 0.3257677 0.0521457
81 61.53077 0.3389898 0.06695433
82 42.37945 0.3937019 0.08686717
83 45.29317 0.3298184 0.05375946
84 33.21848 0.4399556 0.06902564
85 49.76773 0.3603716 0.07364888
86 41.02258 0.2678691 0.04641204
87 42.37945 0.3114752 0.03773591
88 49.93152 0.4167746 0.05823889
89 41.02258 0.3619332 0.05663847
90 46.23388 0.3503399 0.05913178
91 53.77442 0.3427188 0.03806586
92 58.11622 0.3895435 0.09167876
93 53.09565 0.3456717 0.06114772
94 42.14204 0.3254871 0.04278689
95 67.88841 0.4021788 0.04900738
96 45.44927 0.4547393 0.06398757
97 44.67152 0.4039719 0.05291845
98 50.42453 0.359512 0.05758975
99 59.72128 0.2705773 0.0507713
100 51.7513 0.3372253 0.03541062
