bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 78.11035 0.2155923 0.05383139
2 43.44139 0.2098026 0.02539869
3 54.11544 0.1691054 0.03156587
4 43.74728 0.1844096 0.03956294
5 42.83292 0.1399862 0.04781808
6 61.53077 0.1945594 0.02224112
7 62.26225 0.1737712 0.04098303
8 51.41796 0.1999626 0.03018751
9 29.53956 0.2658052 0.05617877
10 56.70817 0.2684856 0.02529317
11 36.2804 0.1661344 0.0306785
12 64.48306 0.2071662 0.05769035
13 58.64877 0.1488176 0.05362799
14 71.38273 0.2425928 0.01261936
15 55.49054 0.2766303 0.04789258
16 65.98557 0.2207027 0.03428761
17 57.58615 0.2557943 0.03164495
18 35.86411 0.1331121 0.04180853
19 48.306 0.219068 0.04592491
20 55.83707 0.2255126 0.0396714
21 71.77648 0.1952228 0.02805711
22 69.0433 0.1975501 0.04699736
23 60.08099 0.1529814 0.05490298
24 60.08099 0.224562 0.04005213
25 71.38273 0.2169 0.01648041
26 113.8906 0.1604923 0.04004571
27 42.37945 0.241756 0.02766298
28 58.64877 0.2205672 0.05321067
29 57.23413 0.2330542 0.0446069
30 50.42453 0.1907631 0.05083866
31 64.85704 0.1826424 0.02237947
32 48.14496 0.2524612 0.03445064
33 58.64877 0.1956535 0.0298526
34 81.71899 0.2014498 0.06638774
35 50.42453 0.2595826 0.04098184
36 71.38273 0.2109933 0.03530834
37 88.89062 0.1780688 0.03638891
38 47.8237 0.1601641 0.02486037
39 45.60564 0.1805068 0.03320509
40 39.91856 0.2261347 0.07317759
41 46.07641 0.2782956 0.02176048
42 56.88322 0.2530985 0.04458764
43 40.80054 0.2160111 0.0226623
44 30.29554 0.1031276 0.0246516
45 72.17132 0.1602037 0.04665442
46 45.91921 0.2031434 0.03094999
47 57.93926 0.1467193 0.03158965
48 111.25 0.2039476 0.03045964
49 59.72128 0.2589583 0.02836461
50 56.88322 0.2326829 0.07285042
51 56.88322 0.2156681 0.03753353
52 62.99813 0.2011003 0.02858284
53 40.57912 0.2241345 0.04164218
54 96.97876 0.2618807 0.03897123
55 85.98535 0.1813404 0.04582586
56 83.12891 0.1419314 0.03293774
57 43.13661 0.1810514 0.04891332
58 50.09558 0.1730499 0.03599023
59 73.36246 0.1858939 0.05435105
60 65.6083 0.2584133 0.03731629
61 41.35679 0.2526813 0.03150466
62 44.51679 0.2116172 0.02659701
63 53.77442 0.1776244 0.04974998
64 65.23212 0.22602 0.04269429
65 70.59853 0.239454 0.03738281
66 80.04321 0.1494575 0.02840759
67 86.5625 0.1363833 0.03489273
68 55.83707 0.1629059 0.04431889
69 57.23413 0.1885404 0.04168691
70 60.08099 0.1866692 0.05887678
71 77.5625 0.2029563 0.04443732
72 44.98179 0.3053916 0.05904676
73 53.09565 0.2412043 0.0224357
74 45.60564 0.1980297 0.03592465
75 83.12891 0.1932132 0.0412476
76 77.0166 0.1907286 0.05418556
77 57.23413 0.2234176 0.05344804
78 52.75792 0.1575915 0.03406955
79 53.09565 0.1676194 0.03515792
80 47.18448 0.1854285 0.0595855
81 47.8237 0.1361101 0.03333753
82 49.76773 0.2288539 0.0243413
83 58.29346 0.2784462 0.04460896
84 57.23413 0.2213129 0.03920982
85 63.7384 0.2137777 0.03622035
86 86.5625 0.2049622 0.04155117
87 43.13661 0.2767561 0.04977808
88 90.06641 0.2003185 0.06675395
89 62.62964 0.2636043 0.03588189
90 94.84766 0.2366344 0.02246967
91 49.76773 0.2401606 0.02150544
92 52.08574 0.1914348 0.0220298
93 59.36268 0.2670991 0.03602023
94 70.99008 0.1702075 0.0266397
95 47.18448 0.1835686 0.02068557
96 71.77648 0.1923225 0.04442143
97 49.27802 0.2769722 0.03656556
98 43.74728 0.3100225 0.05195461
99 60.08099 0.2000776 0.02863933
100 53.77442 0.2440823 0.03565676
