bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 29.53956 0.7341865 0.06077177
2 35.24432 0.6737775 0.0261157
3 29.72762 0.568208 0.04931536
4 31.25441 0.6937803 0.06767497
5 31.83715 0.7249892 0.05864258
6 29.25861 0.5228973 0.0309583
7 30.67723 0.7213173 0.02329512
8 31.15783 0.6540916 0.04344946
9 25.82025 0.6421046 0.07420966
10 26.61445 0.6721868 0.0397458
11 27.87473 0.6761755 0.08491715
12 31.44804 0.685949 0.05965755
13 34.27434 0.7222403 0.05087465
14 29.16527 0.7139571 0.04068313
15 31.83715 0.6243359 0.05797174
16 36.2804 0.6912339 0.08197702
17 34.52825 0.6883796 0.06865505
18 30.62939 0.6455459 0.03867876
19 35.55352 0.6794056 0.03224705
20 31.83715 0.7033019 0.0350098
21 32.62278 0.6850291 0.03882494
22 30.86901 0.7214604 0.07532574
23 23.75711 0.6044354 0.06298028
24 27.7837 0.6579921 0.05285384
25 29.07209 0.671621 0.04285351
26 28.88618 0.650364 0.02964079
27 24.95248 0.7304373 0.04279542
28 24.86655 0.6465439 0.03277908
29 21.07511 0.7171531 0.04149736
30 24.01576 0.7660104 0.04942753
31 25.90788 0.7242062 0.06515438
32 30.67723 0.6932014 0.03367072
33 32.62278 0.6920219 0.06753501
34 31.44804 0.6548942 0.03337401
35 24.18468 0.646252 0.06157354
36 29.3521 0.6566361 0.07494738
37 24.78078 0.7145332 0.04477103
38 24.10014 0.6983295 0.03639317
39 25.1248 0.6871657 0.02584572
40 31.15783 0.7399194 0.02323283
41 27.42115 0.7033222 0.04434144
42 31.73964 0.6606088 0.06430179
43 30.48608 0.690713 0.03972882
44 27.42115 0.7536183 0.04219762
45 28.79346 0.6702482 0.04345533
46 30.86901 0.7314563 0.02810353
47 33.81975 0.4848522 0.03650744
48 32.72167 0.6749478 0.03144718
49 28.05724 0.7385692 0.0339592
50 28.70089 0.6315018 0.04646974
51 34.83421 0.6670257 0.04914006
52 32.42544 0.6945695 0.0357765
53 29.68055 0.742223 0.04954528
54 32.72167 0.5265912 0.03228801
55 21.43094 0.6528588 0.03109594
56 31.54509 0.6849731 0.05263868
57 36.90945 0.675361 0.04099847
58 37.65038 0.7197534 0.04908248
59 34.42657 0.5741149 0.0445131
60 31.2061 0.7428432 0.0501019
61 26.08359 0.5265926 0.05796627
62 30.2005 0.6776318 0.03201074
63 33.51842 0.6523524 0.04376211
64 27.51156 0.7276338 0.05123425
65 33.0193 0.6997422 0.04583
66 28.24037 0.6412259 0.05654441
67 34.22368 0.692593 0.03440877
68 25.47129 0.7162038 0.06169284
69 27.15086 0.6109306 0.02135901
70 30.48608 0.6996649 0.03592346
71 28.14873 0.6851451 0.06595637
72 31.25441 0.7283294 0.04422642
73 25.03856 0.7266287 0.02927326
74 24.60969 0.6131679 0.05944439
75 26.08359 0.661926 0.05387317
76 23.69429 0.6648821 0.0283762
77 26.88196 0.6255798 0.04139132
78 30.96513 0.7103916 0.05433926
79 25.73278 0.6373754 0.04068411
80 40.13813 0.6158592 0.05083591
81 35.03895 0.6368644 0.06622077
82 26.88196 0.7561145 0.02914726
83 29.53956 0.741609 0.01944304
84 28.05724 0.6537451 0.04303579
85 31.15783 0.6534426 0.05048651
86 32.72167 0.6507571 0.03647401
87 26.25993 0.6518463 0.05822175
88 30.86901 0.677063 0.05937465
89 28.05724 0.7316956 0.04495823
90 31.35115 0.5728897 0.032884
91 33.31831 0.7075634 0.03185151
92 34.22368 0.5865894 0.0361761
93 33.0193 0.7077336 0.03939758
94 26.88196 0.6248096 0.04145423
95 29.91631 0.7333104 0.04287467
96 36.38485 0.7070587 0.03064791
97 22.21262 0.6883634 0.02709224
98 29.3521 0.7260651 0.05721249
99 26.61445 0.7134128 0.03700536
100 28.42411 0.5930879 0.03704436
