bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 28.88618 0.8739719 0.06103982
2 21.97054 0.869649 0.05537572
3 24.52438 0.8614612 0.1255636
4 27.19581 0.8569566 0.0778381
5 31.64229 0.8824499 0.06998056
6 24.6524 0.8683283 0.0754206
7 26.97144 0.8569565 0.04123225
8 22.91635 0.8742399 0.052162
9 20.37283 0.8633031 0.1184478
10 23.75711 0.8353855 0.08307162
11 21.91024 0.8574912 0.09220558
12 27.10595 0.9044364 0.1149363
13 27.42115 0.8720535 0.08959034
14 27.51156 0.8627642 0.07844553
15 25.5583 0.8843705 0.08704233
16 26.61445 0.8484248 0.0946636
17 24.18468 0.8733275 0.09293658
18 25.38443 0.8798506 0.07256849
19 31.39958 0.8738607 0.06092359
20 24.31178 0.8522495 0.0699276
21 27.06107 0.8591402 0.0789077
22 28.88618 0.8712842 0.05013675
23 22.27336 0.8643838 0.07248971
24 27.42115 0.8891261 0.08407143
25 25.90788 0.8511559 0.07437273
26 28.42411 0.8651509 0.08242488
27 25.82025 0.8666498 0.08404325
28 29.53956 0.8372502 0.0564116
29 26.57 0.8537614 0.0573478
30 30.10562 0.8664669 0.06606653
31 25.82025 0.8667791 0.1122098
32 24.73795 0.8451041 0.07211576
33 27.10595 0.8439175 0.1099893
34 25.99566 0.8328619 0.08316108
35 26.08359 0.8617946 0.112622
36 25.64546 0.8329863 0.1044535
37 24.6524 0.8449807 0.06161288
38 26.21579 0.8749931 0.09108493
39 30.34311 0.8563234 0.06414153
40 26.88196 0.8616669 0.06396006
41 26.88196 0.8965629 0.1546813
42 27.55682 0.8710281 0.0767493
43 24.52438 0.8590345 0.1248121
44 23.88302 0.8559908 0.08146698
45 24.86655 0.8798851 0.07340834
46 26.97144 0.8577401 0.07346175
47 29.11866 0.8650416 0.1341471
48 24.86655 0.8504451 0.0714028
49 29.3521 0.8776388 0.05110765
50 23.13281 0.8586052 0.09412039
51 23.16382 0.8786302 0.06373592
52 26.52559 0.8583373 0.111303
53 23.50635 0.8839178 0.112372
54 31.9837 0.8539209 0.07985975
55 25.29773 0.8629142 0.07317822
56 26.48121 0.8798757 0.06620736
57 26.79264 0.8631574 0.1242349
58 25.42784 0.8533097 0.125531
59 28.60848 0.86049 0.09390173
60 18.61647 0.8525981 0.1345095
61 24.48178 0.8773147 0.06285639
62 24.52438 0.8377252 0.1464038
63 27.96591 0.8661569 0.07765929
64 28.24037 0.8581976 0.1037587
65 23.69429 0.8740664 0.0497002
66 28.05724 0.843174 0.09464566
67 29.72762 0.840079 0.1142752
68 25.64546 0.8671352 0.07059122
69 25.42784 0.8711646 0.04854813
70 27.06107 0.8357972 0.08053396
71 25.51477 0.8442643 0.0916042
72 26.70347 0.8627991 0.07262088
73 23.00899 0.8521377 0.05379299
74 30.86901 0.8473058 0.07381391
75 24.95248 0.8789738 0.06951932
76 23.4751 0.8790278 0.07315226
77 25.90788 0.8464615 0.05993161
78 22.51718 0.8466464 0.0855038
79 30.53381 0.8709737 0.07094652
80 27.42115 0.8875884 0.08634309
81 24.14239 0.8631188 0.06764635
82 27.15086 0.8510188 0.07829276
83 28.47014 0.853068 0.06060291
84 29.91631 0.8464372 0.131309
85 24.90949 0.8973663 0.09252546
86 24.9955 0.8720487 0.107352
87 29.21192 0.8380107 0.05950217
88 27.96591 0.8643667 0.05450226
89 25.47129 0.8701587 0.0467411
90 27.60212 0.8428394 0.06336706
91 24.22701 0.8500498 0.09381211
92 22.51718 0.8587666 0.09699788
93 24.95248 0.869303 0.1438102
94 25.5583 0.8610878 0.07477571
95 25.21119 0.851825 0.08399133
96 21.10464 0.8743969 0.09459295
97 22.3951 0.8840504 0.05224623
98 26.94906 0.8612122 0.07558461
99 30.248 0.875222 0.05108744
100 20.83962 0.8767396 0.1028424
