pop,color,pop_group
Afar,chocolate,East Africans
Eritrean,chocolate,East Africans
Somali,chocolate,East Africans
Algerian,darkgoldenrod,North Africans
Egyptian,darkgoldenrod,North Africans
Libyan,darkgoldenrod,North Africans
Moroccan,darkgoldenrod,North Africans
Mozabite,darkgoldenrod,North Africans
Shaigi,darkgoldenrod,North Africans
Tunisian,darkgoldenrod,North Africans
Assyrian-MiddleEast,darkgreen,Middle Easterners
BedouinA,darkgreen,Middle Easterners
BedouinB,darkgreen,Middle Easterners
Druze,darkgreen,Middle Easterners
Iranian-Central,darkgreen,Middle Easterners
Iranian-North,darkgreen,Middle Easterners
Iranian-South,darkgreen,Middle Easterners
Jordanian,darkgreen,Middle Easterners
Kurd,darkgreen,Middle Easterners
Lebanese-Christian,darkgreen,Middle Easterners
Lebanese-Muslim,darkgreen,Middle Easterners
Palestinian,darkgreen,Middle Easterners
Saudi,darkgreen,Middle Easterners
Syrian,darkgreen,Middle Easterners
Yemenite-Desert,darkgreen,Middle Easterners
Yemenite-Highlands,darkgreen,Middle Easterners
Yemenite-Northwest,darkgreen,Middle Easterners
Abkhasian,lightgreen,Turkish-Caucasus populations
Adygei,lightgreen,Turkish-Caucasus populations
Armenian,lightgreen,Turkish-Caucasus populations
Assyrian-Caucasus,lightgreen,Turkish-Caucasus populations
Avar,lightgreen,Turkish-Caucasus populations
Azeri,lightgreen,Turkish-Caucasus populations
Balkar,lightgreen,Turkish-Caucasus populations
Chechen,lightgreen,Turkish-Caucasus populations
Circassian,lightgreen,Turkish-Caucasus populations
Darginian,lightgreen,Turkish-Caucasus populations
Georgian,lightgreen,Turkish-Caucasus populations
Hemshin,lightgreen,Turkish-Caucasus populations
Ingush,lightgreen,Turkish-Caucasus populations
Kabardian,lightgreen,Turkish-Caucasus populations
Karachay,lightgreen,Turkish-Caucasus populations
Kumyk,lightgreen,Turkish-Caucasus populations
Lak,lightgreen,Turkish-Caucasus populations
Lezgin,lightgreen,Turkish-Caucasus populations
Nogai,lightgreen,Turkish-Caucasus populations
Ossetian,lightgreen,Turkish-Caucasus populations
Tabasaran,lightgreen,Turkish-Caucasus populations
Turk-Central,lightgreen,Turkish-Caucasus populations
Turk-Northeast,lightgreen,Turkish-Caucasus populations
Turk-Northwest,lightgreen,Turkish-Caucasus populations
Turk-South,lightgreen,Turkish-Caucasus populations
Turk-West,lightgreen,Turkish-Caucasus populations
Finn,yellow,Northern Europeans
Icelandic,yellow,Northern Europeans
Karelian,yellow,Northern Europeans
Norwegian,yellow,Northern Europeans
Swede,yellow,Northern Europeans
Czech,black,Central Europeans
German,black,Central Europeans
Hungarian,black,Central Europeans
Pole,black,Central Europeans
Slovakian,black,Central Europeans
Slovenian,black,Central Europeans
Basque-France,blue,Western Europeans
English-Southeast,blue,Western Europeans
English-Southwest,blue,Western Europeans
French-North,blue,Western Europeans
French-Northeast,blue,Western Europeans
French-Northwest,blue,Western Europeans
French-Southeast,blue,Western Europeans
French-Southwest,blue,Western Europeans
Orcadian,blue,Western Europeans
Scot,blue,Western Europeans
Basque-Spain,orange,Southern Europeans
Corsican,orange,Southern Europeans
Cypriot,orange,Southern Europeans
Greek-North,orange,Southern Europeans
Greek-South,orange,Southern Europeans
Italian-North,orange,Southern Europeans
Italian-Northwest,orange,Southern Europeans
Italian-South,orange,Southern Europeans
Maltese,orange,Southern Europeans
Portuguese,orange,Southern Europeans
Roman-Iberia,orange,Southern Europeans
Sardinian,orange,Southern Europeans
Sicilian-East,orange,Southern Europeans
Sicilian-West,orange,Southern Europeans
Spanish-Balearic,orange,Southern Europeans
Spanish-Catalonia,orange,Southern Europeans
Spanish-Central,orange,Southern Europeans
Spanish-North,orange,Southern Europeans
Spanish-Northwest,orange,Southern Europeans
Spanish-South,orange,Southern Europeans
Spanish-Valencia,orange,Southern Europeans
Tuscan,orange,Southern Europeans
Albanian,lightpink,Southeastern Europeans
Bulgarian,lightpink,Southeastern Europeans
Croat,lightpink,Southeastern Europeans
Gagauz,lightpink,Southeastern Europeans
Romanian,lightpink,Southeastern Europeans
Bashkir,red,Eastern Europeans
Belarusian,red,Eastern Europeans
Chuvash,red,Eastern Europeans
Cossack,red,Eastern Europeans
Estonian,red,Eastern Europeans
Komi,red,Eastern Europeans
Kryashen,red,Eastern Europeans
Latvian,red,Eastern Europeans
Lithuanian,red,Eastern Europeans
Moldavian,red,Eastern Europeans
Mordvin,red,Eastern Europeans
Russian-Arctic,red,Eastern Europeans
Russian-Central,red,Eastern Europeans
Russian-Northwest,red,Eastern Europeans
Russian-Southwest,red,Eastern Europeans
Tatar-Volga,red,Eastern Europeans
Udmurt,red,Eastern Europeans
Ukranian-Central,red,Eastern Europeans
Ukranian-East,red,Eastern Europeans
Ukranian-West,red,Eastern Europeans
Veps,red,Eastern Europeans
Hazara,blueviolet,Central Asian and Siberian populations
Karakalpak,blueviolet,Central Asian and Siberian populations
Kazakh-East,blueviolet,Central Asian and Siberian populations
Kazakh-West,blueviolet,Central Asian and Siberian populations
Kyrgyz-North,blueviolet,Central Asian and Siberian populations
Kyrgyz-South,blueviolet,Central Asian and Siberian populations
Mansi,blueviolet,Central Asian and Siberian populations
Pashtun,blueviolet,Central Asian and Siberian populations
Tajik,blueviolet,Central Asian and Siberian populations
