bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 2.549516 0.0671441 0.05899984
2 3.853956 0.07710455 0.05263766
3 1 0.06602237 0.09609322
4 1 0.1103337 0.05723834
5 10.50625 0.0561492 0.03862193
6 1 0.09125726 0.05408527
7 1 0.07977711 0.07200451
8 1 0.06873034 0.05480136
9 28.05724 0.1585786 0.08297479
10 17.04897 0.09181685 0.07077364
11 11.25156 0.07279872 0.06546487
12 1 0.04092133 0.05747833
13 1 0.04460424 0.04593325
14 2.138099 0.05518372 0.07871184
15 18.78279 0.1573582 0.05461279
16 6.623413 0.05522571 0.05202858
17 1 0.0921111 0.04114676
18 1 0.05058183 0.06208371
19 1 0.06763555 0.04884008
20 17.47409 0.08149535 0.05477463
21 1.16 0.05706149 0.07354508
22 1 0.06696666 0.04725953
23 1.25 0.05566517 0.05265425
24 1 0.1090228 0.0809092
25 7.498557 0.08170918 0.03955864
26 1 0.06230927 0.03377808
27 14.61495 0.05343442 0.05119176
28 1 0.0550109 0.04936892
29 6.07513 0.0488912 0.06123204
30 1 0.07654866 0.06142482
31 13.1 0.06852363 0.05324019
32 8.225 0.04509453 0.0546154
33 4.598984 0.04850378 0.06641387
34 3.561445 0.08994472 0.0535426
35 1 0.0440414 0.04476328
36 4.598984 0.04271031 0.06185967
37 1 0.03673266 0.04418557
38 7.498557 0.1253219 0.04001841
39 1 0.05051915 0.05351319
40 1 0.08647446 0.05175193
41 1 0.0549292 0.03604935
42 1 0.06315101 0.0513114
43 1 0.06150014 0.06069715
44 1 0.04138423 0.03490647
45 3.023858 0.08161851 0.07723599
46 1 0.04668428 0.05579861
47 1 0.05250389 0.05720803
48 1 0.05466118 0.04391331
49 1 0.0852534 0.08509536
50 9.55625 0.06158136 0.07340306
51 1 0.07503794 0.03822359
52 1 0.05195435 0.05620873
53 1 0.07702691 0.05211403
54 17.04897 0.0549001 0.05939676
55 1 0.06876849 0.04313284
56 8.65625 0.0526867 0.05033055
57 1 0.06349169 0.05461128
58 15.40406 0.04808402 0.03794678
59 10.025 0.09618805 0.04965826
60 10.50625 0.07877057 0.04893293
61 1 0.06830286 0.05414016
62 1 0.05319928 0.04876714
63 1 0.07005101 0.03779549
64 1 0.06733204 0.04395209
65 1 0.07204109 0.05662807
66 1 0.06223651 0.04188844
67 38.39887 0.08150632 0.06131739
68 1 0.05008358 0.05078299
69 1 0.06944236 0.05251226
70 1 0.05753212 0.06434655
71 15.80695 0.04971486 0.0617361
72 7.4 0.06177001 0.03454577
73 1 0.04683789 0.05736027
74 1 0.06424877 0.05120409
75 1 0.05172716 0.02869374
76 1 0.05998109 0.05853574
77 1 0.05261701 0.04156744
78 16.2154 0.07701629 0.05283889
79 1 0.04055391 0.03823898
80 1 0.05024419 0.04515512
81 1 0.06387196 0.0757298
82 1 0.06484975 0.04255477
83 1 0.07575645 0.05730929
84 1 0.06706526 0.05223064
85 8.876562 0.07409391 0.03822596
86 1 0.04835416 0.04730869
87 1.871357 0.06719743 0.04999825
88 24.52438 0.05425812 0.051978
89 2.778781 0.0653472 0.04454727
90 13.65625 0.0840395 0.06978661
91 27.3309 0.0891629 0.07491123
92 2.138099 0.0639035 0.1177898
93 3.023858 0.04222011 0.06662911
94 8.65625 0.05786584 0.07753483
95 13.1 0.06585929 0.02792614
96 1 0.114041 0.07646188
97 7.498557 0.06190892 0.05575278
98 1 0.05638135 0.04840508
99 1 0.0754037 0.06426844
100 16.2154 0.03760542 0.06429152
