bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 30.67723 0.6583699 0.05217852
2 19.11778 0.5205497 0.05929953
3 22.76239 0.6964707 0.07086561
4 19.4559 0.7175109 0.07263449
5 36.17609 0.6525668 0.05736218
6 21.55024 0.7212804 0.03014142
7 24.26938 0.7156198 0.0782784
8 20.489 0.6859669 0.04044021
9 20.54722 0.7431978 0.04647816
10 18.50602 0.6394021 0.06175907
11 29.16527 0.6377509 0.09854224
12 22.70096 0.6959146 0.05382815
13 33.0193 0.5766062 0.06611945
14 25.21119 0.6653409 0.0504935
15 23.44387 0.6497306 0.04435567
16 19.91158 0.6021493 0.05375399
17 23.75711 0.7331585 0.05393755
18 18.341 0.6919004 0.09079505
19 19.00577 0.7289311 0.06797742
20 19.68305 0.5959181 0.04261229
21 21.31198 0.6005708 0.06640443
22 23.56891 0.6364656 0.03685938
23 20.66392 0.7429357 0.05749898
24 21.19337 0.6232616 0.06663336
25 22.57835 0.627757 0.05958651
26 17.26084 0.7178287 0.09983272
27 31.93481 0.7308285 0.0621118
28 20.66392 0.6695987 0.06153356
29 18.12219 0.6596342 0.05152702
30 21.25263 0.6248176 0.08154857
31 35.14156 0.6287002 0.0550146
32 28.05724 0.6936907 0.09145566
33 18.67183 0.7465014 0.04199571
34 29.63351 0.6861931 0.084892
35 23.00899 0.693548 0.06424779
36 28.05724 0.6837928 0.04001184
37 29.3521 0.6519177 0.06849487
38 21.25263 0.6696359 0.04257247
39 28.79346 0.6065098 0.04945139
40 25.03856 0.6740126 0.04516158
41 21.78989 0.626357 0.08744537
42 22.09141 0.7265899 0.06478117
43 30.2005 0.6982238 0.06145689
44 25.03856 0.6752694 0.07350174
45 25.73278 0.6521512 0.07895869
46 28.42411 0.6112745 0.06016985
47 30.2005 0.6444129 0.07565816
48 25.38443 0.6798273 0.05238119
49 25.6891 0.7201591 0.04658653
50 27.87473 0.6574509 0.07236593
51 24.95248 0.5500893 0.03903289
52 20.14151 0.6855212 0.09333393
53 27.24081 0.6916795 0.04402453
54 23.13281 0.6302752 0.09276228
55 21.55024 0.7280373 0.06855896
56 38.82998 0.639827 0.05381858
57 15.70571 0.5338564 0.1042738
58 20.489 0.6954485 0.05452367
59 30.67723 0.6626213 0.07525189
60 20.95719 0.6952653 0.07816833
61 24.22701 0.7241363 0.0559496
62 23.75711 0.6166733 0.06973442
63 28.79346 0.5975323 0.06244355
64 23.25697 0.6270739 0.04380326
65 37.12038 0.5518994 0.04732701
66 25.5583 0.6430963 0.06494567
67 21.19337 0.7328347 0.07067275
68 28.05724 0.5480693 0.04425886
69 22.63961 0.7216395 0.04229905
70 25.90788 0.6286983 0.06393149
71 27.3309 0.6741145 0.04625376
72 22.3951 0.66506 0.05582682
73 18.78279 0.7816 0.03032081
74 26.61445 0.591637 0.05505837
75 21.78989 0.6692504 0.08915089
76 19.4559 0.7517896 0.1056817
77 19.68305 0.6909063 0.07898227
78 21.19337 0.7375546 0.05674334
79 18.28617 0.7068848 0.05451889
80 18.01331 0.5625337 0.04957171
81 26.25993 0.6704029 0.05014736
82 27.60212 0.6825229 0.05602574
83 21.07511 0.7285653 0.04695796
84 24.10014 0.6900156 0.06540892
85 21.85002 0.6751333 0.04877752
86 21.43094 0.738592 0.06578805
87 22.27336 0.686958 0.06985211
88 22.51718 0.7078544 0.03911006
89 38.18425 0.6120439 0.04435741
90 22.63961 0.6527682 0.1133162
91 22.51718 0.6582136 0.07747124
92 23.88302 0.7067655 0.05059315
93 19.00577 0.6884137 0.08615636
94 26.17168 0.6364781 0.04331104
95 21.1342 0.6926191 0.06955322
96 20.0839 0.6861954 0.07557418
97 24.48178 0.7292756 0.08085743
98 31.44804 0.6092985 0.09944652
99 28.79346 0.6860995 0.0746923
100 26.52559 0.6028584 0.05420369
