bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 22.8547 0.7843184 0.04043693
2 16.47351 0.8079116 0.1356412
3 22.3951 0.8270267 0.04040058
4 22.27336 0.7711517 0.05215327
5 16.16404 0.8158853 0.05729196
6 19.17392 0.7942224 0.04219381
7 21.07511 0.8084187 0.04404705
8 21.55024 0.7227488 0.05459771
9 19.5693 0.8208447 0.05597565
10 28.8398 0.7978782 0.07726997
11 18.01331 0.7764392 0.04778954
12 24.78078 0.7738802 0.0628409
13 23.13281 0.858892 0.02854656
14 20.19921 0.7743768 0.03442268
15 23.03991 0.8216696 0.04011118
16 21.61002 0.7673849 0.09849621
17 23.84746 0.8103969 0.04469884
18 21.91024 0.7725365 0.05999331
19 22.48663 0.7537736 0.03413883
20 20.83962 0.7948273 0.06091239
21 24.31178 0.819988 0.08397259
22 23.4751 0.7842863 0.03831464
23 21.40117 0.8430171 0.04740016
24 21.28229 0.8611124 0.0516471
25 18.72727 0.8270148 0.04112199
26 17.90477 0.8341199 0.03414287
27 21.72985 0.7784155 0.04218651
28 21.55024 0.8109594 0.03546483
29 22.76239 0.8093159 0.03261136
30 20.7224 0.8446312 0.04755504
31 24.31178 0.8319057 0.05785094
32 17.90477 0.8101136 0.05452112
33 18.83841 0.7706629 0.0471687
34 26.30411 0.7985364 0.02278573
35 21.07511 0.8165785 0.04809725
36 23.63156 0.8492674 0.0581587
37 19.34285 0.7855542 0.04237886
38 23.56891 0.8250169 0.03411202
39 19.94025 0.8413487 0.02503858
40 21.16377 0.8129036 0.04433068
41 21.55024 0.7873966 0.08115081
42 21.37141 0.8343543 0.0516958
43 21.55024 0.798701 0.02289934
44 18.25879 0.7838079 0.03306774
45 20.60553 0.8317226 0.03342542
46 20.22809 0.805757 0.04506525
47 18.61647 0.7990878 0.03117846
48 26.88196 0.8275247 0.03805008
49 21.55024 0.8246628 0.05465003
50 19.48422 0.8221444 0.03555335
51 19.74005 0.7940699 0.03221646
52 20.43087 0.7923879 0.05073674
53 21.85002 0.8384235 0.04731683
54 18.86625 0.8532097 0.06796144
55 18.67183 0.8361104 0.05634318
56 19.82572 0.8135709 0.07224261
57 22.33419 0.8344267 0.04544866
58 21.55024 0.8226058 0.05106626
59 20.45993 0.7882186 0.06161647
60 20.05513 0.7990408 0.06364716
61 21.66989 0.8200152 0.03782403
62 19.11778 0.8403592 0.03693453
63 15.52937 0.7815917 0.07364395
64 23.07085 0.7739823 0.02723557
65 23.72569 0.8425603 0.03659104
66 24.31178 0.7855714 0.05748132
67 15.88312 0.8339097 0.06854693
68 21.66989 0.8286276 0.04927533
69 21.66989 0.7602267 0.05395912
70 22.8547 0.8296865 0.05064359
71 19.62613 0.8103178 0.05146985
72 18.5612 0.8030522 0.05432775
73 24.78078 0.8096114 0.02393964
74 21.72985 0.845685 0.05689689
75 20.02637 0.752429 0.03813538
76 22.63961 0.7843834 0.02854426
77 23.13281 0.7824001 0.04053368
78 24.52438 0.8000723 0.03134123
79 18.45093 0.8168846 0.04905891
80 21.43094 0.8087407 0.09142073
81 20.14151 0.8440859 0.04528575
82 21.52038 0.7781852 0.0416713
83 19.88294 0.8000121 0.05092384
84 19.20202 0.7697125 0.0464159
85 19.91158 0.8171993 0.09543655
86 20.02637 0.8381111 0.06375833
87 24.43923 0.7882461 0.05224643
88 21.58012 0.8487792 0.03896293
89 17.63494 0.7907077 0.07409737
90 20.7224 0.7868448 0.03667052
91 20.69315 0.7824429 0.0440395
92 22.21262 0.8157461 0.09178563
93 20.92777 0.728081 0.05308876
94 19.00577 0.7651772 0.04370049
95 19.23014 0.7935939 0.0323621
96 19.20202 0.7638601 0.06237796
97 20.60553 0.8391173 0.03973022
98 20.54722 0.8126536 0.04307534
99 21.55024 0.868866 0.03337235
100 18.78279 0.8172082 0.03055274
