bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 10.50625 0.1805408 0.04546286
2 44.05426 0.3195892 0.06462313
3 34.22368 0.3859122 0.04385831
4 43.13661 0.2479527 0.03560439
5 47.8237 0.3401997 0.05403206
6 41.02258 0.4169233 0.04998174
7 41.02258 0.3883263 0.03984448
8 22.51718 0.3124127 0.08001059
9 33.0193 0.2140597 0.05124803
10 56.5334 0.2392647 0.04388401
11 42.36778 0.3304265 0.04754676
12 37.97024 0.2567968 0.04684864
13 42.83292 0.3287339 0.0610057
14 45.29317 0.1918133 0.04779352
15 42.36778 0.2159993 0.05929809
16 31.0614 0.292234 0.03150547
17 21.55024 0.3483486 0.04809954
18 41.02258 0.3064164 0.06311949
19 29.53956 0.2727739 0.04567356
20 52.42128 0.4341744 0.0503717
21 38.82998 0.2548852 0.06744164
22 32.22873 0.3204997 0.04334647
23 46.54965 0.2969976 0.04240716
24 45.91921 0.2431683 0.05800429
25 27.69284 0.2723523 0.06281091
26 55.14512 0.253049 0.05665275
27 29.91631 0.2776484 0.06943605
28 44.36234 0.3027232 0.03853904
29 47.34387 0.3358777 0.06347713
30 32.22873 0.3224121 0.05044568
31 26.43688 0.2744939 0.06077578
32 30.29554 0.2600589 0.03940586
33 41.91691 0.3295386 0.04812865
34 32.22873 0.3185102 0.04618416
35 32.62278 0.214922 0.05940177
36 41.46851 0.353516 0.03879712
37 35.86411 0.34193 0.05406836
38 31.0614 0.2531212 0.06317736
39 27.51156 0.349026 0.0512308
40 28.79346 0.3715166 0.03846096
41 32.62278 0.2395783 0.08835994
42 59.36268 0.3136021 0.04705174
43 44.98179 0.3738674 0.05995057
44 78.11035 0.1411266 0.04156644
45 30.67723 0.2303008 0.03669511
46 21.55024 0.1376617 0.04082235
47 53.09565 0.2659782 0.05232463
48 25.90788 0.396929 0.03765598
49 36.48946 0.3553203 0.06193533
50 48.46732 0.207054 0.04169507
51 27.3309 0.2729366 0.05191665
52 23.84746 0.3471112 0.05333274
53 53.09565 0.2734821 0.0355979
54 45.91921 0.3088441 0.06832455
55 45.29317 0.3042597 0.0596436
56 44.05426 0.2175879 0.05486983
57 20.14151 0.2601875 0.05757237
58 33.81975 0.3588899 0.04088468
59 19.23014 0.2577006 0.05594305
60 30.67723 0.3904307 0.04853737
61 47.50354 0.298631 0.05329188
62 32.62278 0.392701 0.05526029
63 40.57912 0.3414966 0.05100393
64 37.54407 0.2596902 0.05044501
65 78.66016 0.2221721 0.05138005
66 41.46851 0.2586982 0.06167963
67 44.67152 0.3032957 0.0414872
68 30.10562 0.2222898 0.08158503
69 39.69961 0.3771224 0.04300496
70 44.05426 0.2891067 0.07800746
71 39.26356 0.2509814 0.04214888
72 39.26356 0.3139279 0.03318301
73 47.8237 0.2734132 0.04987672
74 71.38273 0.126045 0.05074366
75 39.26356 0.3154086 0.06403065
76 33.41829 0.2208937 0.05795237
77 50.09558 0.1733322 0.07264686
78 54.45757 0.2962489 0.03606803
79 35.86411 0.234251 0.05836634
80 33.41829 0.3049453 0.03926996
81 34.22368 0.399821 0.0479304
82 50.42453 0.2780293 0.06889374
83 28.05724 0.2726712 0.04491449
84 25.5583 0.250392 0.03174293
85 37.12038 0.1907911 0.05078805
86 72.96431 0.2087111 0.05498101
87 37.97024 0.4129538 0.05257031
88 14.61495 0.226886 0.04705519
89 36.48946 0.2393336 0.0423465
90 39.26356 0.236466 0.05458721
91 28.97905 0.3378365 0.05279846
92 40.13813 0.2402194 0.06374628
93 26.25993 0.3132704 0.03587104
94 41.46851 0.3193551 0.04366795
95 30.29554 0.3443702 0.03170363
96 44.67152 0.2419127 0.06291949
97 33.0193 0.3120557 0.06942517
98 40.57912 0.3328628 0.07770946
99 47.50354 0.3193224 0.04943739
100 49.44098 0.2709316 0.05582408
