bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 18.9499 0.7359623 0.06278993
2 34.63008 0.8035033 0.04662016
3 23.50635 0.7511497 0.03620967
4 30.10562 0.7560268 0.07484582
5 29.72762 0.6649036 0.06188863
6 30.77304 0.7332218 0.07011126
7 31.25441 0.741712 0.07456135
8 32.62278 0.7948618 0.09554732
9 33.21848 0.7346785 0.04902879
10 24.86655 0.7008456 0.06855839
11 25.38443 0.711264 0.06974461
12 38.50642 0.663579 0.06257545
13 31.25441 0.7247733 0.06050843
14 21.97054 0.7257698 0.04606745
15 26.70347 0.7670205 0.1054548
16 36.69915 0.7291838 0.04140156
17 26.88196 0.7015782 0.03344215
18 24.35422 0.7558524 0.03355776
19 29.44575 0.7377258 0.03181076
20 32.22873 0.7049435 0.05330761
21 31.54509 0.710108 0.03600047
22 31.25441 0.7051322 0.03444527
23 34.12247 0.6677625 0.04579065
24 28.33216 0.8336072 0.05531719
25 28.05724 0.7301954 0.05004773
26 36.48946 0.6490284 0.03864869
27 30.48608 0.7761522 0.1020264
28 32.82073 0.7274888 0.05281871
29 35.03895 0.7657577 0.09440713
30 29.3521 0.6603882 0.04445014
31 34.9365 0.6672838 0.03120049
32 34.78312 0.7889116 0.06272347
33 29.25861 0.728182 0.05993957
34 27.42115 0.69329 0.08437277
35 29.44575 0.8369815 0.09513868
36 24.95248 0.7042842 0.05037837
37 28.70089 0.746877 0.03706971
38 28.51622 0.737878 0.05832223
39 32.22873 0.7920996 0.04982356
40 23.82002 0.7449051 0.05042539
41 32.27785 0.7631991 0.05874584
42 28.05724 0.7257291 0.07443949
43 25.38443 0.7608494 0.0430674
44 33.51842 0.7410573 0.06066704
45 21.31198 0.7236563 0.06606892
46 26.79264 0.7672892 0.03679091
47 28.79346 0.69402 0.03401521
48 26.43688 0.6865655 0.04590857
49 29.86908 0.7276631 0.04332968
50 30.01089 0.8390737 0.05456522
51 33.31831 0.8217203 0.0502845
52 34.63008 0.6843357 0.03485548
53 32.03263 0.7842072 0.05010269
54 21.55024 0.7110496 0.05880048
55 31.93481 0.7187418 0.08292451
56 30.39073 0.7707636 0.07729936
57 32.03263 0.760658 0.1451583
58 28.51622 0.7006358 0.03769064
59 38.18425 0.7852635 0.09679827
60 25.82025 0.8127594 0.09722257
61 24.86655 0.6747604 0.0470524
62 30.10562 0.7636797 0.09453346
63 31.25441 0.6317261 0.057241
64 35.86411 0.8096508 0.05917339
65 27.15086 0.6725355 0.05647468
66 26.17168 0.6797262 0.03419984
67 33.66891 0.7867202 0.05714211
68 39.59036 0.7910739 0.09377772
69 25.21119 0.7210475 0.05476438
70 29.63351 0.7371946 0.03902887
71 28.05724 0.7608894 0.05894998
72 38.39887 0.7703366 0.03735649
73 35.24432 0.7870822 0.06726081
74 35.14156 0.6662559 0.03664848
75 34.32505 0.7327337 0.08328958
76 32.03263 0.7383012 0.04553238
77 38.29148 0.7688247 0.09133109
78 30.39073 0.7297129 0.07804474
79 29.49264 0.7123566 0.06561936
80 22.94721 0.713659 0.08721829
81 27.64746 0.791499 0.1055119
82 34.22368 0.7510069 0.04445041
83 32.32701 0.807611 0.11257
84 25.38443 0.7232926 0.06504455
85 29.3521 0.688245 0.05401048
86 34.12247 0.7911043 0.06911989
87 30.58158 0.7711547 0.056129
88 31.64229 0.7397502 0.09256727
89 35.76043 0.8074179 0.06548462
90 37.65038 0.7861552 0.03419067
91 31.39958 0.6666654 0.03491453
92 32.42544 0.7321175 0.05042323
93 32.22873 0.7253053 0.01913928
94 30.86901 0.7398555 0.09987099
95 26.39258 0.7394891 0.07304419
96 36.59423 0.7164224 0.02716215
97 31.64229 0.7523659 0.03026485
98 31.1096 0.7425422 0.07242688
99 30.39073 0.6481923 0.05697055
100 23.50635 0.7297025 0.08271557
