paper,paper_doi,fid,iid,lat,long,pop,sub_pop,continent,country,state,dataset_N_HO_SNPs,geno_rate_at_HO_SNPs,dataset_N_genochip_SNPs,geno_rate_at_genochip_SNPs,needs_imputation_for_IBD,imputation_params,phasing_params,comments
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-048,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.9883,50542,0.994876,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-048
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-052,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.98876,50542,0.995054,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-052
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-056,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.9892,50542,0.995766,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-056
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-065,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.9881,50542,0.993748,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-065
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-069,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.990088,50542,0.996676,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-069
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-078,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.990321,50542,0.996696,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-078
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-085,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.99035,50542,0.996735,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-085
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-086,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.98916,50542,0.99543,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-086
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-091,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.990294,50542,0.996656,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-091
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-099,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.98935,50542,0.995924,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-099
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Karachay,ABA-100,43.94,42.52,Turkish-Caucasus populations,Karachay,Europe,Russia,Karachaevo-Cherkessia Republic,554998,0.990153,50542,0.996617,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ABA-100
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-185,45.0,40.22,Turkish-Caucasus populations,Adygei,Europe,Russia,"Adyghei Republic, Shovgenovsky district, Mamkheg village",554998,0.98952,50542,0.995904,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,F; 'Version ID' at AADR v50.0: Adg-185
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-192,45.0,40.22,Turkish-Caucasus populations,Adygei,Europe,Russia,"Adyghei Republic, Shovgenovsky district, Mamkheg village",554998,0.98954,50542,0.996221,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: Adg-192
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-194,45.0,40.22,Turkish-Caucasus populations,Adygei,Europe,Russia,"Adyghei Republic, Shovgenovsky district, Mamkheg village",554998,0.990041,50542,0.996359,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: Adg-194
